id,title,status,category,probability,impact,severity,strategy,owner,module,phase,source,trigger,related_requirements,related_decisions,review_date,created,updated
RSK-001,Dependencia en un solo integrante para configuración del vault,mitigated,recurso,media,alto,alto,mitigar,Equipo,proyecto,gestión,MIN-001,Solo Geovanny puede resolver problemas de configuración del vault,,ADR-001;ADR-006,2026-04-19,2026-02-25,2026-04-19
RSK-002,Conflictos de sincronización Git entre 3 integrantes,open,técnico,media,medio,medio,mitigar,Geovanny,proyecto,gestión,MIN-001,Merge conflicts frecuentes o archivos con marcadores de conflicto,,ADR-002,2026-04-19,2026-02-25,2026-04-19
RSK-003,Curva de aprendizaje de Obsidian para Elkin y Santiago,mitigated,recurso,alta,medio,alto,mitigar,Geovanny,proyecto,gestión,MIN-001,Notas creadas sin frontmatter correcto o sin usar QuickAdd,,ADR-001,2026-04-19,2026-02-25,2026-04-19
RSK-004,Migración futura a GitHub Projects podría causar inconsistencias,closed,técnico,baja,medio,bajo,aceptar,Geovanny,proyecto,gestión,MIN-001,Datos duplicados o contradictorios entre Obsidian y GitHub Projects,,ADR-003,2026-04-19,2026-02-25,2026-04-19
RSK-005,Complejidad del frontmatter si se crean notas manualmente,mitigated,calidad,media,medio,medio,evitar,Equipo,proyecto,gestión,MIN-001,SQLSeal queries devuelven datos incompletos o incorrectos,,ADR-005;ADR-006,2026-04-19,2026-02-25,2026-04-19
RSK-006,Pérdida de trabajo por falla en sincronización Git,open,técnico,baja,alto,medio,mitigar,Geovanny,proyecto,gestión,MIN-001,Commits no aparecen en GitHub después de 30 minutos,,ADR-002,2026-04-19,2026-02-25,2026-04-19
RSK-007,Complejidad del módulo SAB por diversidad de saberes y niveles CARE,open,técnico,alta,medio,alto,mitigar,Santiago,saberes,diseño,MIN-002,Modelo ER de SAB supera 10 entidades o los niveles de acceso generan lógica de autorización excesivamente compleja,RF-SAB-01;RF-SAB-04;RF-SAB-05,ADR-009;ADR-011,2026-04-19,2026-03-07,2026-04-19
RSK-008,Modelos de datos basados en datos simulados podrían no reflejar realidad territorial,open,calidad,alta,medio,alto,mitigar,Equipo,transversal,diseño,MIN-002,"Validación con comunidades revela que entidades, atributos o relaciones no corresponden a la práctica real",RF-EDU-01;RF-SAB-01;RF-SAL-01,ADR-011;ADR-013,2026-04-19,2026-03-07,2026-04-19
RSK-009,7 territorios sin conectividad estable — riesgo para validación y despliegue,open,técnico,alta,alto,crítico,mitigar,Geovanny,transversal,implementación,MIN-004,Pruebas de campo en territorios sin conectividad fallan o no se pueden ejecutar,RNF-01;RF-TRANS-02,ADR-008;ADR-014,2026-04-19,2026-03-14,2026-04-19
RSK-010,Plazo ajustado para compilar Avance 2 (10 días),closed,calendario,media,medio,medio,mitigar,Geovanny,proyecto,gestión,MIN-003,Avance 2 no está listo para la fecha de entrega del 1 de abril,,ADR-013,2026-03-29,2026-03-21,2026-03-29
RSK-011,32 SP ambiciosos para equipo de 3 con carga académica,open,recurso,media,alto,alto,mitigar,Equipo,proyecto,implementación,MIN-005,Velocity promedio por sprint < 10 SP o el equipo reporta carga excesiva,,ADR-015,2026-04-30,2026-03-17,2026-03-17
RSK-012,Sync engine (PouchDB ↔ CouchDB) como mayor riesgo técnico,open,técnico,media,alto,alto,mitigar,Elkin,transversal,implementación,MIN-005,PoC de replicación PouchDB↔CouchDB falla o no resuelve conflictos correctamente en Sprint-03 semana 1,RNF-01;RF-TRANS-02,ADR-008;ADR-014;ADR-015,2026-04-19,2026-03-17,2026-04-19
RSK-013,Coordinación logística con CONAI para entrevistas en territorios,open,recurso,alta,medio,alto,mitigar,Elkin,proyecto,investigación,MIN-005,CONAI no responde o no autoriza acceso a territorios para Sprint-03,,ADR-013,2026-04-19,2026-03-17,2026-04-19
RSK-014,Sin validación con usuarios reales en fase de diseño (Sprint-02),closed,calidad,alta,medio,alto,aceptar,Equipo,transversal,diseño,MIN-003,Artefactos de diseño se entregan en Avance 2 sin feedback de usuarios reales,RNF-04,ADR-013;ADR-016,2026-04-19,2026-03-21,2026-04-19
