respondent_id,date,A1_territorio,A2_pueblo,A3_rango_edad,A4_tipo_saber,A5_aprendio_de,B1_transmite,B2_a_quienes,B3_aprendices_activos,B4_obstaculos,B5_urgencia,C1_documentado,C2_formato_adecuado,C3_preocupacion_mal_uso,C4_condiciones_aceptar,C5_quien_decide_acceso,D1_saberes_publicos,D2_saberes_no_digitalizar,D3_niveles_acceso_adecuado,D4_cambiar_nivel,D5_confianza,E1_saberes_en_riesgo,E2_historia_perdida,E3_consejo
SAB-R001,2026-03-16,Guatuso,Maleku,61-70,Historia oral;lengua;agricultura,Abuelos,Sí regularmente,Nietos;estudiantes,4,Jóvenes no interesados;migración de jóvenes,5,Sí por iniciativa propia,Audio (voz);video,4,Control comunitario del acceso;aprobación del consejo,Una combinación,Sí algunos,Sí algunos específicos,4,Sí con aprobación del consejo,Que lo maneje la comunidad;que sea en mi idioma,La lengua maleku y las historias de Tocu y Nharíne,Mi abuelo sabía canciones ceremoniales que nadie grabó,Escuchen primero antes de grabar
SAB-R002,2026-03-16,Guatuso,Maleku,71+,Medicina natural;alimentación;historia oral,Abuelos;padres,Sí ocasionalmente,Hijos;nietos,2,Jóvenes no interesados;falta de tiempo,5,Sí por solicitud externa,Audio (voz),5,Control comunitario del acceso;poder borrar en cualquier momento;aprobación del consejo,El consejo de mayores,Solo los que la comunidad decida,Sí muchos,4,Sí siempre,Que lo maneje la comunidad;que funcione sin internet,Plantas medicinales y sus usos; los cantos del maíz,Antes cada familia sabía preparar la chicha ceremonial; hoy solo 2 personas saben,No digitalicen lo sagrado
SAB-R003,2026-03-17,Talamanca Bribri,Bribri,51-60,Ceremonia;medicina natural;historia oral,Abuelos;otros mayores,Sí regularmente,Aprendices designados,3,Pérdida de lengua;falta de espacios,4,No pero estaría dispuesto,Audio (voz);video,5,Control comunitario del acceso;aprobación del consejo;solo para la comunidad,El Awá,Solo los que la comunidad decida,Sí muchos,5,Sí con aprobación del consejo,Que un mayor lo supervise;que lo maneje la comunidad;que sea en mi idioma,Cantos del Sĩõ̀tãma y historias de Sibö̀,Un antropólogo grabó ceremonias sin permiso en los 90 y las publicó,El Awá debe ser quien apruebe todo
SAB-R004,2026-03-17,Talamanca Bribri,Bribri,61-70,Artesanía;música/canto;historia oral,Abuelos;padres,Sí regularmente,Hijos;nietos;comunidad en general,6,Jóvenes no interesados;migración de jóvenes,4,Sí por iniciativa propia,Audio (voz);fotografía,4,Control comunitario del acceso;aprobación del consejo,Una combinación,Sí algunos,Sí algunos específicos,4,Sí con aprobación del consejo,Que lo maneje la comunidad;que sea en mi idioma;que funcione sin internet,Las técnicas de tejido en fibra natural,Antes cada mujer sabía tejer; ahora solo las mayores,Incluyan a las mujeres en las decisiones
SAB-R005,2026-03-18,Talamanca Bribri,Bribri,41-50,Agricultura;alimentación;construcción,Padres;otros mayores,Sí ocasionalmente,Hijos;estudiantes,3,Falta de tiempo;jóvenes no interesados,4,No pero estaría dispuesto,Video;fotografía,3,Control comunitario del acceso;solo para la comunidad,La comunidad en asamblea,Sí algunos,Sí algunos específicos,4,Sí siempre,Que lo maneje la comunidad;capacitación previa,Técnicas de construcción del rancho cónico y agricultura de cacao,Los jóvenes prefieren materiales modernos y ya no saben construir ranchos,Hagan algo útil para la comunidad; no solo para la universidad
SAB-R006,2026-03-18,Boruca,Boruca,71+,Artesanía;historia oral;lengua,Abuelos,Sí ocasionalmente,Nietos;comunidad en general,2,Pérdida de lengua;jóvenes no interesados;falta de espacios,5,Sí por solicitud externa,Audio (voz);video;fotografía,4,Control comunitario del acceso;poder borrar en cualquier momento,El portador,Sí algunos,Sí algunos específicos,4,Sí siempre,Que lo maneje la comunidad;que sea en mi idioma,La lengua boruca completa; los cantos de la Danza de los Diablitos,Mi padre fue el último que sabía todos los cantos en boruca antiguo,Graben mi voz antes de que me muera
SAB-R007,2026-03-19,Boruca,Boruca,61-70,Artesanía;música/canto,Abuelos;padres,Sí regularmente,Aprendices designados;comunidad en general,5,Falta de tiempo;falta de espacios,4,Sí por iniciativa propia,Video;fotografía,3,Control comunitario del acceso;aprobación del consejo,Una combinación,Sí algunos,Sí algunos específicos,5,Sí con aprobación del consejo,Que lo maneje la comunidad;capacitación previa,Elaboración de máscaras ceremoniales vs. turísticas; la diferencia se está perdiendo,Las máscaras que se venden a turistas no tienen significado; las ceremoniales sí y eso se pierde,Diferencien lo comercial de lo sagrado
SAB-R008,2026-03-19,Boruca,Boruca,51-60,Historia oral;agricultura;alimentación,Padres;otros mayores,Sí ocasionalmente,Hijos;estudiantes,3,Jóvenes no interesados;migración de jóvenes;prohibiciones escolares,5,No pero estaría dispuesto,Audio (voz);texto escrito,4,Control comunitario del acceso;aprobación del consejo;solo para la comunidad,La comunidad en asamblea,Solo los que la comunidad decida,Sí algunos específicos,4,Sí con aprobación del consejo,Que lo maneje la comunidad;que funcione sin internet;que un mayor lo supervise,Historia de resistencia boruca; recetas tradicionales,La escuela castigaba hablar boruca; eso mató la lengua,No repitan el error de prohibir; dejen que la comunidad decida
SAB-R009,2026-03-20,Térraba,Térraba,61-70,Historia oral;agricultura,Abuelos,No pero quisiera,—,0,Pérdida de lengua;jóvenes no interesados;falta de espacios,5,No pero estaría dispuesto,Audio (voz);texto escrito,3,Control comunitario del acceso;aprobación del consejo,La comunidad en asamblea,Solo los que la comunidad decida,No creo,4,Sí siempre,Que lo maneje la comunidad;capacitación previa,Todo; la lengua térraba ya se perdió; quedan memorias de los mayores,Mi abuelo hablaba térraba fluido; mi padre entendía; yo solo recuerdo frases,No dejen que con nosotros pase lo que pasó con la lengua
SAB-R010,2026-03-20,Guatuso,Maleku,41-50,Medicina natural;agricultura;alimentación,Padres;abuelos,Sí regularmente,Hijos;estudiantes;comunidad en general,5,Falta de tiempo;jóvenes no interesados,4,No pero estaría dispuesto,Video;audio (voz),3,Control comunitario del acceso;solo para la comunidad;capacitación previa,Una combinación,Sí algunos,Sí algunos específicos,5,Sí con aprobación del consejo,Que lo maneje la comunidad;que funcione sin internet;que sea en mi idioma,Los nombres maleku de plantas medicinales y sus combinaciones,Un curandero murió sin que nadie aprendiera sus recetas; se perdieron para siempre,Empiecen con los más viejos; el tiempo no perdona
SAB-R011,2026-03-20,Talamanca Cabécar,Cabécar,51-60,Ceremonia;medicina natural;construcción,Otros mayores,Sí regularmente,Aprendices designados,2,Falta de espacios;pérdida de lengua,5,No y no quisiera,Ninguno,5,No aceptaría,El Awá,Ninguno,Sí muchos,2,No una vez decidido,Que un mayor lo supervise,No me corresponde decir; pregúntenle al Jawá,El Jawá anterior dijo que grabar un canto es matarlo,No graben nada sin el Jawá
SAB-R012,2026-03-21,Talamanca Cabécar,Cabécar,61-70,Historia oral;lengua;música/canto,Abuelos,Sí ocasionalmente,Nietos;aprendices designados,3,Migración de jóvenes;falta de espacios,5,No pero estaría dispuesto,Audio (voz),5,Aprobación del consejo;solo para la comunidad;poder borrar en cualquier momento,El Awá,Solo los que la comunidad decida,Sí muchos,3,Sí con aprobación del consejo,Que un mayor lo supervise;que sea en mi idioma;que lo maneje la comunidad,Los cantos de siembra y las historias de Sibö en cabécar,Los misioneros quemaron objetos ceremoniales; parte de la memoria se fue con ellos,Que el sistema hable cabécar; nada en español
SAB-R013,2026-03-21,Guatuso,Maleku,51-60,Lengua;historia oral;música/canto,Abuelos;padres,Sí regularmente,Estudiantes;comunidad en general,8,Jóvenes no interesados;falta de tiempo,4,Sí por iniciativa propia,Audio (voz);video;texto escrito,3,Control comunitario del acceso;capacitación previa,Una combinación,Sí algunos,No creo,5,Sí siempre,Que lo maneje la comunidad;que sea en mi idioma;capacitación previa,Vocabulario especializado maleku para plantas y animales,Cada mayor que muere se lleva palabras que nadie más sabe,Trabajen con los docentes de lengua; ellos son el puente
SAB-R014,2026-03-22,Boruca,No indígena,41-50,Historia oral;artesanía,Aprendizaje propio,No pero quisiera,—,0,Pérdida de lengua;falta de espacios,4,No pero estaría dispuesto,Video;fotografía;texto escrito,2,Control comunitario del acceso;capacitación previa,La comunidad en asamblea,Sí algunos,No estoy seguro,5,Sí siempre,Capacitación previa;que lo maneje la comunidad,Las técnicas de tintura natural que usan los artesanos mayores,He visto cómo los turistas compran máscaras sin entender su significado,Consulten a la ADI antes de cualquier paso
SAB-R015,2026-03-22,Talamanca Bribri,Bribri,71+,Ceremonia;medicina natural;historia oral,Abuelos,Sí regularmente,Aprendices designados,2,Falta de espacio;pérdida de lengua,5,No y no quisiera,Ninguno,5,No aceptaría,El Awá,Ninguno,Sí muchos,1,No una vez decidido,Que un mayor lo supervise,Lo que Sibö enseñó a los Awá no es para máquinas,Un usal fue grabado y vendido como música; eso es una ofensa,Las ceremonias no se graban; punto
SAB-R016,2026-03-23,Quitirrisí,Huetar,51-60,Historia oral;agricultura;alimentación,Padres,Sí ocasionalmente,Hijos;comunidad en general,3,Jóvenes no interesados;migración de jóvenes,4,No pero estaría dispuesto,Video;audio (voz);texto escrito,2,Control comunitario del acceso;capacitación previa,La comunidad en asamblea,Sí todos,No creo,5,Sí siempre,Que lo maneje la comunidad;capacitación previa,Lo que queda de identidad huetar: recetas; historia de resistencia,La lengua se perdió hace generaciones; no repitamos con la cultura,Documenten todo lo que puedan; nosotros ya perdimos lo más valioso
SAB-R017,2026-03-23,Guatuso,Maleku,30-40,Lengua;artesanía;historia oral,Padres;abuelos,Sí regularmente,Estudiantes;comunidad en general,6,Falta de tiempo;jóvenes no interesados,4,Sí por iniciativa propia,Audio (voz);video;fotografía,3,Control comunitario del acceso;solo para la comunidad,El portador,Sí algunos,Sí algunos específicos,5,Sí siempre,Que lo maneje la comunidad;que sea en mi idioma;capacitación previa,Las canciones maleku que solo cantan los mayores en ceremonias,Mi tía sabía historias que nunca me contó porque yo era muy joven; murió con ellas,Hagan talleres con los jóvenes; nosotros somos el puente
SAB-R018,2026-03-23,Talamanca Bribri,Bribri,41-50,Agricultura;alimentación;artesanía,Padres;otros mayores,Sí regularmente,Hijos;comunidad en general,4,Falta de tiempo;falta de espacios,4,No pero estaría dispuesto,Video;fotografía,3,Control comunitario del acceso;aprobación del consejo;capacitación previa,Una combinación,Sí algunos,Sí algunos específicos,4,Sí con aprobación del consejo,Que lo maneje la comunidad;que funcione sin internet,Preparación del cacao ceremonial y las recetas de cocina bribri,Los supermercados cambiaron la alimentación; los jóvenes ya no conocen las recetas,La comida es cultura; si se pierde la comida se pierde todo
